"","price","bedrooms","bathrooms","sqft_living","sqft_lot","floors","waterfront","view","condition","grade","sqft_above","sqft_basement","yr_renovated","zipcode","yr_old"
"123",770,3,2,2910,10204,2,0,0,3,9,2910,0,0,98052,31
"124",1450,4,3,2750,17789,2,0,0,3,8,1980,770,1992,98004,107
"125",445,3,2,2100,8201,1,0,2,3,8,1620,480,0,98178,54
"126",260,4,2,2160,8811,1,0,0,3,8,1360,800,0,98023,43
"127",822.5,5,4,2320,4960,NA,0,0,5,7,1720,600,0,98103,95
"128",430,4,2,2070,4310,2,0,0,3,7,2070,0,0,98065,17
"129",212,3,2,1060,7875,1,NA,0,4,7,1060,0,0,98092,35
"130",660.5,4,2,2010,NA,1,0,0,3,8,1440,570,0,98027,35
"131",784,3,4,3950,111078,2,0,0,3,9,2460,1490,0,98052,32
"132",453.246,NA,2,2010,2287,2,0,0,3,8,1390,620,0,98029,7
"133",675,4,4,2140,2278,3,0,0,3,9,2140,0,0,98107,16
"134",199,3,2,1320,17390,1,0,0,4,7,1320,0,0,98003,NA
"135",220,4,2,2020,7840,1,0,0,3,7,1010,1010,0,98003,53
"136",452,4,2,2590,10002,NA,0,0,4,8,1340,1250,0,98028,53
"137",382.5,2,1,1190,4440,1,0,0,3,6,1190,0,0,98125,40
"138",519.95,3,2,1170,1249,3,0,0,NA,8,1170,0,0,98107,7
"139",665,2,1,1110,3200,1,0,0,3,7,1110,NA,0,98119,96
"140",527.7,5,2,2820,9375,1,0,0,4,8,1550,1270,0,98006,53
"141",205,3,1,1610,8579,1,0,0,4,7,1010,600,0,98058,59
"142",420,3,1,1060,8097,1,0,0,4,7,940,120,0,98133,98
"143",500,4,2,2030,8517,1,0,0,4,8,1380,650,0,98006,60
"144",921.5,4,2,3670,315374,2,0,0,4,9,3670,0,0,98077,27
"145",890,4,1,2550,4000,2,0,0,3,8,2370,180,0,98109,116
"146",430,2,2,NA,60984,2,0,0,3,7,2420,0,0,98027,14
"147",258,5,2,2260,12500,1,0,0,4,8,1130,1130,0,98032,61
"148",511,3,1,NA,3455,1,0,0,3,7,980,450,0,98103,74
"149",532.17,3,2,1360,3090,2,0,0,3,8,1360,0,0,98103,31
"150",560,3,1,1110,5000,2,0,0,3,7,1110,0,0,98107,74
"151",282.95,3,1,1250,8200,1,0,0,4,7,1250,0,0,98003,67
"152",2250,4,3,5180,19850,2,0,3,3,12,3540,1640,0,98006,15
"153",350,1,1,700,5100,1,0,0,3,7,700,0,0,98115,79
"154",215,3,1,1180,7669,1,0,0,4,7,1180,0,0,98058,54
"155",650,5,4,3960,25245,2,0,0,3,9,2500,1460,0,98056,25
"156",320,4,3,2640,NA,1,0,0,3,8,1620,1020,0,98023,54
"157",247,3,2,1270,7198,2,0,0,3,7,1270,0,2013,98022,105
"158",320,4,2,1760,11180,1,0,0,4,8,1760,0,0,98059,53
"159",255,5,2,2060,8632,1,0,0,3,7,1030,1030,0,98146,59
"160",438,3,2,1780,9660,1,0,0,3,7,1780,0,0,98034,59
"161",900,3,NA,3400,16603,2,0,0,3,10,3400,0,0,98075,21
"162",441,3,3,1910,7280,1,0,0,3,7,1160,750,0,98034,42
"163",420,3,2,2020,38332,1,0,0,4,7,1010,1010,0,98027,46
"164",370,3,2,1580,7000,1,0,0,3,7,1180,400,0,98034,45
"165",269.95,2,2,1340,7250,1,0,0,5,5,700,640,0,98198,72
"166",807.1,4,2,2680,4499,2,0,0,3,9,2680,0,0,98006,22
"167",653,NA,2,2680,9750,1,0,0,4,8,1610,1070,0,98034,42
"168",371.5,3,2,1370,8336,1,0,0,5,7,NA,0,0,98133,57
"169",284,3,2,1560,21000,1,0,0,3,7,1560,0,0,98166,67
"170",272,3,2,2160,7140,1,0,0,4,7,1670,490,0,98023,43
"171",313,3,2,1340,7912,2,0,0,3,7,1340,0,0,98133,66
"172",917.5,4,2,3880,35003,2,0,0,3,10,2570,1310,0,98033,37
"173",673,4,2,2590,8190,2,0,0,4,8,2590,0,0,98006,41
"174",425,3,2,1120,1100,2,0,0,3,8,820,300,0,98122,13
"175",399.95,5,3,1970,5400,1,0,0,3,7,1320,650,0,98144,35
"176",385,3,1,1220,4800,1,0,0,3,6,1220,0,0,98122,120
"177",269.95,3,2,1950,7560,1,0,2,4,7,1320,630,0,98022,46
"178",330,2,1,1350,8220,1,0,0,3,7,1060,290,0,98177,72
"179",260,3,2,1670,5797,2,0,0,3,7,1670,0,0,98030,33
"180",470,4,3,2380,5125,2,0,0,4,7,1680,700,0,98126,96
"181",589,4,3,2440,9600,2,0,0,5,7,2440,0,0,98034,60
"182",163.5,NA,2,1050,3419,2,0,0,3,7,1050,0,0,98038,25
"183",835,4,3,3130,13412,2,0,0,3,9,2140,990,0,98052,28
"184",1095,5,3,4090,12850,1,NA,2,4,10,2090,2000,0,98033,35
"185",269,4,2,1490,10000,1,0,0,4,8,1100,390,0,98023,52
"186",560,3,2,1900,8744,2,0,0,3,8,1900,0,0,98074,34
"187",615,4,1,1330,2400,2,0,0,4,6,1330,0,0,98103,120
"188",585.188,3,2,2230,10026,1,0,0,3,8,1430,800,0,98052,46
"189",305,3,2,1650,9480,1,0,0,3,7,1220,430,0,98034,44
"190",166.95,3,1,1190,8820,1,0,0,3,NA,1190,0,0,98058,62
"191",799,3,2,2140,9897,1,0,0,4,8,2140,0,0,98040,62
"192",400,3,2,2180,7508,1,0,0,4,7,1420,760,0,98133,59
"193",230,3,1,1060,10228,1,0,0,3,7,1060,0,0,98155,73
"194",256.883,3,2,1690,5025,2,0,0,3,8,1690,0,0,98023,18
"195",423,4,2,1970,6480,2,0,0,5,7,1130,840,0,98108,101
"196",465,3,2,2150,4084,2,0,0,3,8,2150,0,0,98126,14
"197",440,3,2,1910,66211,2,0,0,3,7,1910,0,0,98024,24
"198",385,3,2,1350,155073,1,0,0,4,7,1350,0,0,98038,52
"199",210,3,1,860,11725,1,0,0,4,6,860,0,0,98056,78
"200",297,3,2,1940,14952,2,0,0,3,8,1940,0,0,98042,27
"201",470,3,1,1010,5000,1,0,0,3,7,1010,0,0,98107,69
"202",226.5,NA,2,1300,7370,1,0,0,4,7,900,400,0,98023,45
"203",274.25,3,1,910,8450,1,0,0,4,6,910,0,0,98059,59
"204",840,4,2,2480,11010,1,0,0,4,9,1630,850,0,98040,55
"205",677.9,3,2,2440,4587,2,0,0,3,8,2440,0,0,98052,11
"206",425,3,1,1010,5864,1,0,0,3,7,1010,0,0,98116,106
"207",180.25,2,1,900,9600,1,0,0,3,6,900,0,0,98166,80
"208",464,6,3,2300,3404,2,0,0,3,NA,1600,700,1994,98133,101
"209",320,4,2,1550,7579,2,0,0,3,8,1550,0,0,98038,28
"210",625.504,3,2,1270,1566,2,0,0,3,8,1060,210,0,98105,7
"211",592.5,4,2,2240,12032,1,0,0,3,9,2240,0,0,98074,38
"212",465,3,2,2714,17936,2,0,0,3,9,2714,0,0,98001,16
"213",477,4,3,1720,6270,2,0,0,3,8,1720,0,0,98118,43
"214",280,2,1,850,16400,1,0,0,3,6,850,0,0,98168,98
"215",1505,5,3,3300,33474,1,0,3,3,9,1870,1430,1991,98040,64
"216",445.838,3,2,2250,5692,2,0,0,3,8,2250,0,0,98146,21
"217",1072,2,2,3900,14864,1,0,3,3,8,1950,1950,0,NA,74
"218",467,2,2,1320,10800,1,0,0,4,8,1320,0,0,98177,74
"219",686,4,2,2760,6440,2,0,0,3,10,2760,0,0,98075,22
"220",279.95,3,2,1750,9750,1,0,0,3,7,1350,400,0,98198,60
"221",527,4,2,2330,19436,2,0,0,3,8,2330,0,0,98011,34
"222",325,3,2,2220,16020,1,0,0,4,8,1780,440,0,98030,55
"223",328,3,2,2020,8379,2,NA,0,3,7,2020,0,0,98038,27
"224",390,3,NA,1250,7500,1,0,0,5,7,1250,0,0,98146,79
"225",479.95,2,2,NA,6516,1,0,0,3,8,1510,0,0,98053,16
"226",264.95,4,NA,1720,9753,1,0,0,4,7,1120,600,0,98023,43
"227",235,3,1,1430,15246,1,0,NA,4,7,980,450,0,98031,60
"228",516.5,3,2,1480,4729,2,0,0,3,7,1480,0,0,98053,17
"229",655,2,2,1450,15798,2,1,4,3,7,1230,220,1978,98166,106
"230",500,4,3,2280,15347,1,0,0,5,7,2280,0,0,98059,61
"231",315,6,3,2940,7350,1,0,0,3,8,1780,1160,NA,98023,43
"232",213,2,1,1000,10200,1,0,0,3,6,1000,0,0,98024,60
"233",475,3,NA,2480,5280,2,0,0,5,7,1620,860,0,98108,74
"234",1025,5,4,3760,28040,2,0,0,3,10,3760,0,0,98033,38
"235",416,3,2,2220,94300,1,0,0,5,NA,1640,580,0,98010,45
"236",410,4,1,1970,4740,2,0,0,NA,7,1670,300,2005,98122,117
"237",800,3,4,3830,221284,2,0,0,3,10,3530,NA,0,98077,28
"238",472,6,2,4410,14034,1,0,2,4,9,2350,2060,0,98003,56
"239",225,3,2,1430,8505,1,0,0,4,7,1430,NA,0,98003,53
"240",210,2,1,830,6000,1,0,0,3,6,830,0,0,98126,81
"241",455,2,1,1430,5000,2,0,0,2,7,1430,0,0,NA,96
"242",225,3,1,1300,8316,1,0,0,NA,6,1300,0,0,98002,67
"243",480,2,1,1030,3060,1,0,2,4,7,790,240,0,98103,103
"244",363,NA,2,2740,11872,2,0,0,3,9,2740,0,0,98023,31
"245",2400,4,NA,3650,8354,1,1,4,3,9,1830,1820,0,98074,21
"246",181,NA,2,720,5120,1,0,0,3,6,720,0,0,98106,67
"247",250,4,2,2010,7312,1,0,0,4,7,2010,0,0,98002,45
"248",481,3,2,1560,3000,1,0,0,4,6,770,790,0,98103,103
"249",260,3,NA,1810,7209,1,0,0,4,7,1240,570,0,98032,43
"250",455,4,2,3360,7685,2,0,0,3,9,3360,0,0,98058,20
"251",415,3,2,1510,36224,2,0,0,3,8,1510,0,0,98045,30
"252",349.5,3,1,1400,3538,1,0,0,3,7,800,600,0,98118,68
"253",245,3,2,1730,7442,2,0,0,3,7,1730,0,0,98030,34
"254",592.5,2,2,NA,9191,2,0,2,5,7,1420,0,0,98115,93
"255",385,4,2,2360,7620,1,0,0,4,7,1180,1180,0,98106,66
"256",315,3,2,1580,11455,1,0,0,4,7,NA,380,0,98059,47
"257",255,3,1,NA,10170,1,0,0,3,7,1230,0,0,98045,42
"258",693,4,2,2460,4425,2,NA,0,3,8,2460,0,0,98052,15
"259",780,3,1,1660,4400,2,0,0,3,8,1460,200,0,NA,110
"260",237,3,2,1270,8470,1,NA,0,4,7,1270,0,0,98198,61
"261",525,3,2,2100,40510,2,0,0,3,10,1320,780,0,98074,42
"262",425,2,1,770,5040,NA,0,0,3,5,770,0,0,98144,91
"263",369.9,1,1,760,10079,1,1,4,5,5,760,0,0,NA,85
"264",290,4,2,1700,7280,2,NA,0,4,7,1700,0,0,98031,33
"265",285,3,1,1120,10701,1,0,0,3,7,1120,0,0,98106,67
"266",415,2,1,1070,4500,1,0,0,3,7,1070,0,0,98115,84
"267",272.5,3,2,2070,9900,1,0,0,3,8,1420,NA,0,98023,42
"268",2900,4,3,5050,20100,2,0,2,3,11,4750,300,2008,98004,39
"269",1365,4,5,5310,57346,2,0,0,4,11,5310,0,0,98077,32
"270",436,2,1,1040,7538,1,0,NA,4,7,1040,0,0,98133,82
"271",210,3,1,1700,11390,1,0,0,4,7,1700,0,0,NA,54
"272",236,3,1,1300,5898,1,0,0,3,7,1300,0,0,98178,60
"273",331,3,2,1080,1306,1,0,0,3,7,580,500,2003,98199,67
"274",365,3,2,2653,4510,2,0,0,3,8,2653,0,0,98031,15
"275",450,3,2,2290,16258,1,0,0,5,8,2290,0,0,98058,61
"276",770,4,3,3820,26300,2,0,0,3,9,2850,970,0,98028,7
"277",455,4,2,2210,49375,1,0,0,3,8,2210,0,0,98038,24
"278",405,3,2,2390,6000,1,0,0,3,6,1240,1150,0,98118,113
"279",304.9,4,2,NA,11325,1,0,0,4,7,1610,990,0,98031,52
"280",170,2,1,860,5265,1,0,0,3,6,860,0,0,98178,90
"281",2050,5,3,3830,8480,2,0,1,5,9,2630,1200,1994,98122,116
"282",780,4,2,3500,7048,2,0,0,3,9,3500,0,0,98053,16
"283",330,3,3,2420,13959,1,0,0,4,8,1740,680,0,98028,33
"284",370,4,2,2720,8666,2,0,0,3,9,2720,0,0,98030,29
"285",467,5,2,2500,13500,1,0,0,3,7,1850,650,0,98072,42
"286",405,NA,2,1670,6720,1,0,0,3,7,1140,530,0,98034,41
"287",675,5,2,2900,10300,1,0,0,3,8,1450,1450,0,98006,36
"288",500,2,1,1640,14100,1,0,0,4,7,1140,500,0,98006,67
"289",389.999,4,2,1890,15770,2,0,0,4,7,1890,0,0,98166,53
"290",630,4,2,2950,9025,1,0,2,4,8,1780,1170,0,98034,46
"291",360,4,2,2160,9528,2,0,0,3,9,2160,0,0,98001,29
"292",580,4,3,3280,11060,2,0,0,3,8,2270,1010,0,98056,35
"293",550,3,2,1970,4166,NA,0,3,5,8,1270,700,0,98126,92
"294",879,4,2,3360,22111,2,0,0,3,10,3360,0,0,98075,27
"295",265,3,2,1320,8959,1,0,0,3,7,1320,0,0,98042,28
"296",446.5,3,2,2650,7286,2,0,0,3,8,2650,0,0,98059,31
"297",404,3,2,2030,8880,1,0,0,3,7,1330,NA,0,98108,58
"298",267.5,3,2,1590,11914,1,0,2,3,7,1090,500,0,98188,64
"299",3075,4,5,4550,18641,1,1,4,3,10,2600,1950,0,98074,19
"300",335,3,2,2440,7632,2,0,0,3,8,2440,0,NA,98003,23
"301",576,3,2,1940,9000,1,0,0,4,7,970,970,0,98117,73
"302",208.633,3,2,2040,3810,2,0,0,3,8,2040,0,0,98038,15
"303",315,3,2,2200,8750,1,0,0,4,7,1120,1080,0,98166,57
"304",725,3,2,1920,3300,1,0,0,4,8,960,960,0,98112,108
"305",550,NA,3,1800,7750,1,0,0,4,8,1400,400,0,98177,56
"306",610.75,4,2,2180,7297,2,0,0,3,8,2180,0,0,98074,37
"307",550.7,2,1,1010,5000,2,0,0,4,6,1010,0,0,98105,113
"308",665,4,3,3320,10574,2,0,0,NA,8,2220,1100,0,98056,61
"309",834,4,2,2370,4000,2,0,2,5,8,1980,390,0,98144,NA
"310",201,5,2,1660,78408,2,0,0,3,6,1660,0,0,98065,106
"311",2384,5,2,3650,9050,2,0,4,5,10,3370,280,0,98119,100
"312",1384,4,3,4290,12103,1,0,3,3,11,2690,1600,0,98006,24
"313",1400,4,3,4290,12103,1,0,3,3,11,2690,1600,0,98006,24
"314",305,4,2,1950,7700,1,0,0,3,NA,1350,600,0,98058,42
"315",487,3,2,2590,14052,1,0,0,5,8,1720,870,0,98133,73
"316",390,3,2,1930,64904,1,0,0,4,8,1930,0,0,98042,33
"317",548,2,1,1470,3864,1,0,0,4,7,1170,300,0,98103,105
"318",268.75,4,1,800,8775,1,0,0,3,6,800,NA,0,98166,78
"319",819.9,5,3,3150,7119,2,0,0,3,9,3150,0,0,98052,8
"320",520,3,2,2030,16200,2,0,0,3,8,2030,0,0,98027,37
"321",230,3,NA,1450,11204,1,0,0,3,7,1450,0,0,98001,18
"322",240,3,2,1510,10248,1,NA,0,3,7,1510,0,0,98023,52
"323",232,2,1,1240,12092,1,0,0,3,6,960,280,1984,98146,99
"324",240.5,2,1,1240,12092,1,0,0,3,NA,960,280,1984,98146,99
"325",274.975,3,2,3030,45004,2,0,0,3,9,3030,0,0,NA,34
"326",740,4,2,2050,4400,2,0,0,4,9,2050,0,0,98102,99
"327",186.375,3,1,1000,7636,1,0,0,2,7,1000,0,0,98166,69
"328",790,3,2,2370,10289,1,0,0,4,9,1590,780,0,98005,44
"329",880,4,4,2800,6750,2,0,0,3,9,1890,910,2002,98105,70
"330",279,6,2,2240,11180,2,0,NA,4,7,2240,0,0,98198,66
"331",295,3,2,1810,10530,1,0,2,3,8,1810,0,0,98022,30
"332",640,2,1,1070,5000,1,0,0,3,7,1070,0,0,98103,97
"333",940,4,2,2490,9525,2,0,0,5,9,2490,0,0,98040,53
"334",260,4,2,1960,5238,2,0,0,NA,7,1960,0,0,98038,18
"335",559.9,3,3,2930,5569,1,0,0,3,9,1860,1070,0,98072,17
"336",791.5,4,2,1510,3500,2,0,0,5,7,1510,NA,0,98103,110
"337",265,3,2,1420,8250,1,0,0,3,7,1420,0,0,98133,67
"338",245,3,2,1740,11547,1,0,0,3,7,1740,0,0,98178,67
"339",485,4,2,2560,43995,2,0,0,4,7,2560,0,0,98052,59
"340",684,4,4,3040,8414,2,0,0,3,9,2420,620,0,98059,11
"341",425,3,2,2500,6840,1,0,0,3,8,1300,1200,0,98125,64
"342",309.6,4,2,1275,20000,1,0,0,4,6,1275,0,0,NA,30
"343",552.25,4,2,2580,5823,2,0,0,3,8,2580,0,0,98065,19
"344",165,4,1,1000,7134,1,0,0,3,6,1000,0,0,98178,78
"345",239.9,4,1,NA,7134,1,0,0,3,6,1000,0,0,98178,78
"346",320,2,1,1070,32633,1,0,0,4,6,1070,0,0,98059,91
"347",206.6,3,2,1390,13464,1,0,0,4,7,1390,0,0,98030,34
"348",387,4,2,2500,7690,1,0,0,3,7,1250,1250,0,98155,48
"349",299,1,1,560,12120,1,0,0,3,4,560,0,0,98014,54
"350",855,4,3,2270,10460,2,0,0,3,9,2270,0,0,98040,56
"351",315,3,1,1900,14400,1,0,0,4,7,1300,600,0,98166,67
"352",437.5,2,1,990,3120,1,0,2,5,7,790,200,0,98103,114
"353",252,4,2,1550,19800,1,0,0,4,7,1050,500,0,98001,52
"354",375,4,2,2200,7475,1,0,0,NA,7,1100,1100,0,98118,66
"355",300,4,2,1910,4862,2,0,0,NA,7,1910,0,0,98038,16
"356",420,4,1,1750,9600,2,0,0,4,7,1750,0,0,98006,67
"357",900,3,1,NA,77972,1,0,0,3,7,1330,0,1954,98033,93
"358",679.9,3,2,2440,5750,2,0,2,3,9,1980,460,0,98116,21
"359",463,3,2,1640,29970,2,0,0,3,7,1640,0,0,98053,29
"360",380,5,2,2760,11340,2,0,NA,4,9,2760,0,0,98059,43
"361",329.5,4,2,1820,7912,2,0,0,3,7,1820,0,0,98038,27
"362",604.95,3,2,2110,5608,1,0,0,3,8,1340,770,0,98033,8
"363",795,5,2,3040,9570,NA,0,2,4,8,1640,1400,0,98006,55
"364",465,3,2,1840,40438,2,0,0,3,7,1840,0,0,98045,27
"365",673,4,2,2990,10400,2,0,0,3,9,2990,0,0,98166,19
"366",810,4,NA,3520,15420,2,0,0,3,10,3520,0,0,98074,30
"367",785,4,3,2440,69415,1,0,0,4,8,1910,530,NA,98075,32
